start_ns,end_ns,stage,bytes
177282916183151,177282918592217,pty_engine_feed,7
177282918613477,177282918639857,graphics_map_pointer,2457600
177282918646537,177282918665807,engine_render_unmap,2457600
177282918701527,177282922182422,gl_draw_swap,2457600
177282923920799,177282930579459,event_wait,0
177282930600109,177282930621479,graphics_map_pointer,14513408
177282930623169,177282930641749,engine_render_unmap,14513408
177282930662069,177282943732689,gl_draw_swap,14513408
177282943742969,177282946560905,event_wait,0
177282946569125,177282966631684,event_wait,0
177282966644024,177282966758744,pty_engine_feed,4
177282966826684,177282966851824,graphics_map_pointer,14513408
177282966853674,177282966861624,engine_render_unmap,14513408
177282966882834,177282973235494,gl_draw_swap,14513408
177282973352254,177282973641703,pty_engine_feed,65512
177282973660413,177282973677483,pty_engine_feed,4
177282973699293,177282973779333,event_wait,0
177282973859393,177282974211022,pty_engine_feed,65516
177282974239202,177282975225421,event_wait,0
177282975254621,177282975381881,pty_engine_feed,24064
177282975440430,177282975496550,pty_engine_feed,34816
177282975512080,177282975641460,pty_engine_feed,6636
177282975656870,177282975691440,event_wait,0
177282975716620,177282975768020,pty_engine_feed,24064
177282975822780,177282975977130,pty_engine_feed,41452
177282975992370,177282976032650,event_wait,0
177282976095749,177282976175769,pty_engine_feed,38400
177282976204889,177282976260749,pty_engine_feed,20480
177282976275319,177282976403939,pty_engine_feed,6636
177282976426469,177282981631631,event_wait,0
177282981643391,177282981671851,graphics_map_pointer,14513408
177282981673651,177282981686401,engine_render_unmap,14513408
177282981707561,177282987130353,gl_draw_swap,14513408
177282987139823,177282987162063,event_wait,0
177282987176173,177282988915250,event_wait,0
