start_ns,end_ns,stage,bytes
188023528554662,188023528736932,pty_engine_feed,7
188023528773932,188023528794162,graphics_map_pointer,2457600
188023528801082,188023528820422,engine_render_unmap,2457600
188023528835182,188023531851237,gl_texture_swap,2457600
188023533720874,188023540259104,event_wait,0
188023540282454,188023540305114,graphics_map_pointer,14513408
188023540306854,188023540324854,engine_render_unmap,14513408
188023540376974,188023541231223,gl_texture_swap,14513408
188023541239753,188023544193178,event_wait,0
188023544200688,188023592564154,event_wait,0
188023592583764,188023592746354,pty_engine_feed,4
188023592758064,188023592785624,graphics_map_pointer,14513408
188023592787074,188023592794744,engine_render_unmap,14513408
188023592809604,188023593644013,gl_texture_swap,14513408
188023593744093,188023594359362,pty_engine_feed,65524
188023594372762,188023594446161,event_wait,0
188023594535211,188023594701391,pty_engine_feed,65524
188023594706451,188023594745031,event_wait,0
188023594826441,188023594989741,pty_engine_feed,65524
188023594993961,188023595039541,event_wait,0
188023595124040,188023595301250,pty_engine_feed,62976
188023595308250,188023595451650,pty_engine_feed,2548
188023595458920,188023595506950,event_wait,0
188023595670960,188023595882149,pty_engine_feed,65524
188023595895749,188023597063357,event_wait,0
188023597161077,188023597385657,pty_engine_feed,40448
188023597524117,188023597697056,pty_engine_feed,25076
188023597712056,188023597771706,event_wait,0
188023597873976,188023598079376,pty_engine_feed,44544
188023598171566,188023598350936,pty_engine_feed,20980
188023598362655,188023598417785,event_wait,0
188023598543925,188023598724905,pty_engine_feed,65524
188023598733935,188023598769185,event_wait,0
188023598864535,188023599032024,pty_engine_feed,65524
188023599039514,188023599072744,event_wait,0
188023599167194,188023599338594,pty_engine_feed,65524
188023599345244,188023599376834,event_wait,0
188023599471344,188023599632434,pty_engine_feed,65524
188023599638564,188023599671003,event_wait,0
188023599759043,188023599932553,pty_engine_feed,65524
188023599938393,188023601069111,event_wait,0
188023601169391,188023601419311,pty_engine_feed,65524
188023601427041,188023601466171,event_wait,0
188023601497451,188023601644320,pty_engine_feed,19968
188023601704760,188023601897860,pty_engine_feed,40960
188023601908840,188023602051220,pty_engine_feed,4596
188023602060160,188023602089070,graphics_map_pointer,14513408
188023602090740,188023602099550,engine_render_unmap,14513408
188023602116770,188023602220780,gl_texture_swap,14513408
188023602326489,188023602594699,pty_engine_feed,65524
188023602608459,188023602642409,event_wait,0
188023602741349,188023602981438,pty_engine_feed,65524
188023602992048,188023603025548,event_wait,0
188023603119828,188023603285468,pty_engine_feed,65524
188023603292118,188023603324158,event_wait,0
188023603417308,188023603579778,pty_engine_feed,65524
188023603585838,188023603619667,event_wait,0
188023603718457,188023603880987,pty_engine_feed,65524
188023603886857,188023603916677,event_wait,0
188023604016257,188023604183907,pty_engine_feed,65524
188023604189737,188023605201905,event_wait,0
188023605205165,188023610615307,event_wait,0
188023610632807,188023610691267,graphics_map_pointer,14513408
188023610693467,188023610711467,engine_render_unmap,14513408
188023610728117,188023610823776,gl_texture_swap,14513408
188023610827316,188023610870586,event_wait,0
188023610873806,188023611810265,event_wait,0
188023611825585,188023611849605,event_wait,0
