start_ns,end_ns,stage,bytes
188023212044725,188023212213565,pty_engine_feed,7
188023212244015,188023212263055,graphics_map_pointer,2457600
188023212269195,188023212289105,engine_render_unmap,2457600
188023212303465,188023214638421,gl_texture_swap,2457600
188023219176884,188023223008638,event_wait,0
188023223027708,188023223042788,graphics_map_pointer,14513408
188023223045438,188023223060528,engine_render_unmap,14513408
188023223118548,188023223911597,gl_texture_swap,14513408
188023223917737,188023227393872,event_wait,0
188023227402382,188023266015403,event_wait,0
188023266031493,188023266186402,pty_engine_feed,4
188023266201842,188023266230862,graphics_map_pointer,14513408
188023266234292,188023266246362,engine_render_unmap,14513408
188023266264002,188023268076549,gl_texture_swap,14513408
188023268181369,188023268776628,pty_engine_feed,65524
188023268787688,188023268833328,event_wait,0
188023268917938,188023269119908,pty_engine_feed,65524
188023269124178,188023269154718,event_wait,0
188023269236678,188023269415007,pty_engine_feed,65524
188023269418577,188023269446407,event_wait,0
188023269533067,188023269726327,pty_engine_feed,65524
188023269729667,188023269754047,event_wait,0
188023269812217,188023269993157,pty_engine_feed,44544
188023270024536,188023270206406,pty_engine_feed,20980
188023270209626,188023270236746,event_wait,0
188023270335936,188023270533656,pty_engine_feed,65524
188023270546216,188023271651314,event_wait,0
188023271700064,188023271889744,pty_engine_feed,28160
188023271937104,188023272126803,pty_engine_feed,37364
188023272137943,188023272177323,event_wait,0
188023272265133,188023272447243,pty_engine_feed,65524
188023272451083,188023272473773,event_wait,0
188023272556303,188023272755362,pty_engine_feed,65524
188023272758622,188023272780502,event_wait,0
188023272881772,188023273075232,pty_engine_feed,65524
188023273078922,188023273099992,event_wait,0
188023273188202,188023273378021,pty_engine_feed,65524
188023273380971,188023273400491,event_wait,0
188023273485851,188023273680891,pty_engine_feed,65524
188023273683891,188023273704691,event_wait,0
188023273787241,188023273975030,pty_engine_feed,65524
188023273978240,188023274014900,event_wait,0
188023274050260,188023274181520,pty_engine_feed,24064
188023274230050,188023274401970,pty_engine_feed,41460
188023274405000,188023275607918,event_wait,0
188023275657938,188023275918157,pty_engine_feed,36352
188023275954497,188023276148707,pty_engine_feed,29172
188023276160357,188023276187157,event_wait,0
188023276280647,188023276462387,pty_engine_feed,65524
188023276466177,188023276479097,graphics_map_pointer,14513408
188023276480397,188023276486607,engine_render_unmap,14513408
188023276496037,188023276559367,gl_texture_swap,14513408
188023276651596,188023277011766,pty_engine_feed,65524
188023277110696,188023277384335,pty_engine_feed,65524
188023277392115,188023277411655,event_wait,0
188023277488865,188023277676055,pty_engine_feed,65524
188023277679655,188023277698395,event_wait,0
188023277776745,188023277969954,pty_engine_feed,65524
188023277973634,188023279778252,event_wait,0
188023279781742,188023283804035,event_wait,0
188023283822625,188023283846955,event_wait,0
