start_ns,end_ns,stage,bytes
186856459321401,186856459486201,pty_engine_feed,7
186856459512161,186856459528061,graphics_map_pointer,2457600
186856459535171,186856459554461,engine_render_unmap,2457600
186856459565421,186856460237030,gl_texture_swap,2457600
186856461672697,186856463308905,event_wait,0
186856463315515,186856468629587,event_wait,0
186856468639177,186856468649117,graphics_map_pointer,14513408
186856468650687,186856468660387,engine_render_unmap,14513408
186856468738177,186856469425906,gl_texture_swap,14513408
186856469430946,186856470926283,event_wait,0
186856470929503,186856533259498,event_wait,0
186856533275998,186856533426648,pty_engine_feed,4
186856533436978,186856533519268,event_wait,0
186856533522398,186856533551738,pty_engine_feed,4
186856533556498,186856533605258,event_wait,0
186856533608088,186856533627008,pty_engine_feed,4
186856533631398,186856533660138,event_wait,0
186856533662748,186856533681588,pty_engine_feed,4
186856533685798,186856533711518,event_wait,0
186856533714168,186856533732488,pty_engine_feed,4
186856533736797,186856533761157,event_wait,0
186856533763907,186856533782687,pty_engine_feed,4
186856533786787,186856533810367,event_wait,0
186856533812937,186856533830677,pty_engine_feed,4
186856533834777,186856533861427,event_wait,0
186856533863967,186856533881847,pty_engine_feed,4
186856533885627,186856533906287,event_wait,0
186856533908787,186856533926967,pty_engine_feed,4
186856533930837,186856533951457,event_wait,0
186856533954267,186856533973067,pty_engine_feed,4
186856533977307,186856533997877,event_wait,0
186856534001637,186856534020537,pty_engine_feed,4
186856534024587,186856534046587,event_wait,0
186856534049217,186856534068557,pty_engine_feed,4
186856534072567,186856534094167,event_wait,0
186856534097117,186856534115277,pty_engine_feed,4
186856534119067,186856534139877,event_wait,0
186856534142437,186856534160397,pty_engine_feed,4
186856534164427,186856534186237,event_wait,0
186856534188937,186856534379227,pty_engine_feed,4
186856534389067,186856534414756,event_wait,0
186856534418096,186856534437106,pty_engine_feed,4
186856534441296,186856534462256,event_wait,0
186856534464916,186856534482936,pty_engine_feed,4
186856534487186,186856534509116,event_wait,0
186856534511666,186856534530266,pty_engine_feed,4
186856534534216,186856534555156,event_wait,0
186856534557736,186856534575346,pty_engine_feed,4
186856534579306,186856534600096,event_wait,0
186856534602656,186856534621546,pty_engine_feed,4
186856534625676,186856534647476,event_wait,0
186856534650076,186856534668306,pty_engine_feed,4
186856534672126,186856534693756,event_wait,0
186856534696336,186856534714386,pty_engine_feed,4
186856534718096,186856534739816,event_wait,0
186856534742656,186856534760626,pty_engine_feed,4
186856534764716,186856534785136,event_wait,0
186856534787796,186856534805546,pty_engine_feed,4
186856534809406,186856534829486,event_wait,0
186856534832086,186856534850576,pty_engine_feed,4
186856534854716,186856534874966,event_wait,0
186856534877436,186856534895556,pty_engine_feed,4
186856534899376,186856534920456,event_wait,0
186856534923216,186856534941936,pty_engine_feed,4
186856534945756,186856534966806,event_wait,0
186856534969366,186856534987946,pty_engine_feed,4
186856534991826,186856535014816,event_wait,0
186856535017486,186856535035906,pty_engine_feed,4
186856535040046,186856535062305,event_wait,0
186856535064865,186856535083055,pty_engine_feed,4
186856535087065,186856535107425,event_wait,0
186856535109935,186856535212945,pty_engine_feed,4
186856535221595,186856535245125,event_wait,0
186856535248355,186856535267565,pty_engine_feed,4
186856535271915,186856535293155,event_wait,0
186856535295725,186856535313725,pty_engine_feed,4
186856535317725,186856535338695,event_wait,0
186856535341265,186856535359685,pty_engine_feed,4
186856535363365,186856535383675,event_wait,0
186856535386605,186856535404655,pty_engine_feed,4
186856535408325,186856535428845,event_wait,0
186856535431355,186856535449685,pty_engine_feed,4
186856535453925,186856535480125,event_wait,0
186856535482675,186856535500785,pty_engine_feed,4
186856535504525,186856535526695,event_wait,0
186856535534425,186856535553375,pty_engine_feed,4
186856535562285,186856535584325,event_wait,0
186856535586945,186856535605555,pty_engine_feed,4
186856535609535,186856535631215,event_wait,0
186856535633735,186856535651615,pty_engine_feed,4
186856535655545,186856535675755,event_wait,0
186856535678435,186856535696535,pty_engine_feed,4
186856535700354,186856535720174,event_wait,0
186856535722694,186856535740384,pty_engine_feed,4
186856535744354,186856535765014,event_wait,0
186856535767604,186856535786554,pty_engine_feed,4
186856535790544,186856535812604,event_wait,0
186856535815104,186856535832584,pty_engine_feed,4
186856535836344,186856535856854,event_wait,0
186856535859474,186856535878004,pty_engine_feed,4
186856535881894,186856535902994,event_wait,0
186856535905474,186856535923904,pty_engine_feed,4
186856535927634,186856535948404,event_wait,0
186856535950954,186856535968894,pty_engine_feed,4
186856535972704,186856535993384,event_wait,0
186856535995824,186856536018974,pty_engine_feed,4
186856536023404,186856536046024,event_wait,0
186856536048574,186856536066764,pty_engine_feed,4
186856536070124,186856537515772,event_wait,0
186856537518332,186856537611652,pty_engine_feed,4
186856537615242,186856537643832,event_wait,0
186856537646512,186856537664612,pty_engine_feed,4
186856537668151,186856537693891,event_wait,0
186856537696481,186856537713991,pty_engine_feed,4
186856537717271,186856537741701,event_wait,0
186856537744251,186856537761831,pty_engine_feed,4
186856537765001,186856537789951,event_wait,0
186856537792631,186856537810041,pty_engine_feed,4
186856537813471,186856537838261,event_wait,0
186856537840741,186856537857951,pty_engine_feed,4
186856537861281,186856537884851,event_wait,0
186856537887441,186856537905181,pty_engine_feed,4
186856537908301,186856537929501,event_wait,0
186856537932171,186856537951471,pty_engine_feed,4
186856537954871,186856537975141,event_wait,0
186856537977701,186856537995271,pty_engine_feed,4
186856537998341,186856538025211,event_wait,0
186856538027851,186856538045521,pty_engine_feed,4
186856538048841,186856538124291,event_wait,0
186856538126381,186856538143891,pty_engine_feed,4
186856538148431,186856538196201,event_wait,0
186856538200161,186856538222941,pty_engine_feed,4
186856538226701,186856538253301,event_wait,0
186856538255441,186856538273941,pty_engine_feed,4
186856538276971,186856538300191,event_wait,0
186856538302301,186856538449690,pty_engine_feed,4
186856538458840,186856538505180,event_wait,0
186856538508200,186856538527190,pty_engine_feed,4
186856538530820,186856538555460,event_wait,0
186856538557780,186856538576230,pty_engine_feed,4
186856538579460,186856538605710,event_wait,0
186856538607870,186856538626270,pty_engine_feed,4
186856538629290,186856538652270,event_wait,0
186856538654450,186856538672380,pty_engine_feed,4
186856538675430,186856538696930,event_wait,0
186856538699100,186856538716330,pty_engine_feed,4
186856538719540,186856538739640,event_wait,0
186856538741780,186856538759300,pty_engine_feed,4
186856538762400,186856538783040,event_wait,0
186856538785300,186856538803360,pty_engine_feed,4
186856538806360,186856538826510,event_wait,0
186856538828690,186856538846370,pty_engine_feed,4
186856538849450,186856538870060,event_wait,0
186856538872170,186856538890330,pty_engine_feed,4
186856538893380,186856538913760,event_wait,0
186856538915800,186856538933470,pty_engine_feed,4
186856538936480,186856538956280,event_wait,0
186856538958500,186856538976680,pty_engine_feed,4
186856538979719,186856539003889,event_wait,0
186856539006079,186856539024559,pty_engine_feed,4
186856539027899,186856539050389,event_wait,0
186856539052519,186856539070589,pty_engine_feed,4
186856539073639,186856539094709,event_wait,0
186856539096919,186856539114649,pty_engine_feed,4
186856539117919,186856539137549,event_wait,0
186856539139649,186856539157639,pty_engine_feed,4
186856539160719,186856539180969,event_wait,0
186856539183189,186856539200629,pty_engine_feed,4
186856539203679,186856539226429,event_wait,0
186856539228559,186856539246759,pty_engine_feed,4
186856539250219,186856539271679,event_wait,0
186856539277029,186856539296039,pty_engine_feed,4
186856539301339,186856539321429,event_wait,0
186856539323639,186856539342079,pty_engine_feed,4
186856539345059,186856539365149,event_wait,0
186856539367239,186856539384979,pty_engine_feed,4
186856539387959,186856539407439,event_wait,0
186856539409599,186856539427889,pty_engine_feed,4
186856539430869,186856539451359,event_wait,0
186856539453589,186856539471009,pty_engine_feed,4
186856539474039,186856539494499,event_wait,0
186856539496519,186856539514079,pty_engine_feed,4
186856539517699,186856539537569,event_wait,0
186856539539659,186856539557049,pty_engine_feed,4
186856539560089,186856539581789,event_wait,0
186856539583909,186856539602009,pty_engine_feed,4
186856539604929,186856539625399,event_wait,0
186856539627739,186856539646108,pty_engine_feed,4
186856539649088,186856539669208,event_wait,0
186856539671248,186856539689098,pty_engine_feed,4
186856539692398,186856539712118,event_wait,0
186856539714208,186856539732128,pty_engine_feed,4
186856539735548,186856539755028,event_wait,0
186856539757118,186856539775098,pty_engine_feed,4
186856539778218,186856539797738,event_wait,0
186856539799868,186856539818058,pty_engine_feed,4
186856539821158,186856539841208,event_wait,0
186856539843318,186856539861198,pty_engine_feed,4
186856539864278,186856539884048,event_wait,0
186856539886178,186856539904098,pty_engine_feed,4
186856539907338,186856539927338,event_wait,0
186856539929458,186856539947108,pty_engine_feed,4
186856539950618,186856539970438,event_wait,0
186856539972488,186856539990118,pty_engine_feed,4
186856539993388,186856540016958,event_wait,0
186856540019208,186856540037288,pty_engine_feed,4
186856540040168,186856540060998,event_wait,0
186856540063098,186856540081128,pty_engine_feed,4
186856540084378,186856540104108,event_wait,0
186856540106298,186856540124448,pty_engine_feed,4
186856540127518,186856540147938,event_wait,0
186856540150078,186856540168248,pty_engine_feed,4
186856540171378,186856540190658,event_wait,0
186856540192758,186856540211378,pty_engine_feed,4
186856540214448,186856540234118,event_wait,0
186856540236278,186856540254338,pty_engine_feed,4
186856540257358,186856541758415,event_wait,0
186856541760775,186856541854125,pty_engine_feed,4
186856541857325,186856541881705,event_wait,0
186856541883935,186856541902295,pty_engine_feed,4
186856541905405,186856541927025,event_wait,0
186856541929335,186856541948005,pty_engine_feed,4
186856541951255,186856541972905,event_wait,0
186856541975085,186856541993075,pty_engine_feed,4
186856541996195,186856542022625,event_wait,0
186856542024855,186856542044275,pty_engine_feed,4
186856542047705,186856542072695,event_wait,0
186856542074865,186856542093595,pty_engine_feed,4
186856542096795,186856542119145,event_wait,0
186856542121255,186856542139735,pty_engine_feed,4
186856542142815,186856542164325,event_wait,0
186856542166405,186856542184585,pty_engine_feed,4
186856542187715,186856542207415,event_wait,0
186856542209585,186856542227635,pty_engine_feed,4
186856542230595,186856542250505,event_wait,0
186856542252515,186856542270584,pty_engine_feed,4
186856542273644,186856542293524,event_wait,0
186856542295774,186856542313804,pty_engine_feed,4
186856542317084,186856542336724,event_wait,0
186856542338844,186856542356514,pty_engine_feed,4
186856542359794,186856542379854,event_wait,0
186856542382004,186856542399594,pty_engine_feed,4
186856542402704,186856542423534,event_wait,0
186856542425654,186856542443754,pty_engine_feed,4
186856542446784,186856542466134,event_wait,0
186856542468354,186856542485854,pty_engine_feed,4
186856542489284,186856542510504,event_wait,0
186856542512594,186856542530584,pty_engine_feed,4
186856542533674,186856542553994,event_wait,0
186856542556144,186856542573784,pty_engine_feed,4
186856542576784,186856542596114,event_wait,0
186856542598274,186856542616874,pty_engine_feed,4
186856542619914,186856542642104,event_wait,0
186856542644274,186856542661784,pty_engine_feed,4
186856542664824,186856542684454,event_wait,0
186856542686544,186856542703744,pty_engine_feed,4
186856542706704,186856542726774,event_wait,0
186856542731064,186856542748774,pty_engine_feed,4
186856542753294,186856542772564,event_wait,0
186856542774644,186856542792604,pty_engine_feed,4
186856542795754,186856542817124,event_wait,0
186856542819244,186856542836894,pty_engine_feed,4
186856542839974,186856542859744,event_wait,0
186856542861934,186856542978763,pty_engine_feed,4
186856542986583,186856543013763,event_wait,0
186856543016633,186856543035753,pty_engine_feed,4
186856543039213,186856543060993,event_wait,0
186856543063313,186856543081903,pty_engine_feed,4
186856543085113,186856543105483,event_wait,0
186856543107623,186856543125613,pty_engine_feed,4
186856543128613,186856543148183,event_wait,0
