start_ns,end_ns,stage,bytes
186856084838242,186856085006312,pty_engine_feed,7
186856085037172,186856085058942,graphics_map_pointer,2457600
186856085065502,186856085084552,engine_render_unmap,2457600
186856085097852,186856086528580,gl_texture_swap,2457600
186856088841196,186856094927347,event_wait,0
186856094943597,186856094958847,graphics_map_pointer,14513408
186856094960717,186856094974487,engine_render_unmap,14513408
186856095023537,186856096033845,gl_texture_swap,14513408
186856096041745,186856100343149,event_wait,0
186856100349809,186856145115080,event_wait,0
186856145131850,186856145289140,pty_engine_feed,4
186856145302240,186856145326680,graphics_map_pointer,14513408
186856145328240,186856145335340,engine_render_unmap,14513408
186856145349860,186856146158879,gl_texture_swap,14513408
186856146171859,186856146277499,pty_engine_feed,4
186856146283449,186856146323769,event_wait,0
186856146326599,186856146346179,pty_engine_feed,4
186856146350069,186856146376019,event_wait,0
186856146378699,186856146406329,pty_engine_feed,4
186856146409849,186856146433128,event_wait,0
186856146435608,186856146454268,pty_engine_feed,4
186856146457278,186856146478958,event_wait,0
186856146481658,186856146499428,pty_engine_feed,4
186856146502188,186856146523948,event_wait,0
186856146526458,186856146543878,pty_engine_feed,4
186856146546688,186856146567908,event_wait,0
186856146570278,186856146588478,pty_engine_feed,4
186856146591368,186856146615108,event_wait,0
186856146617548,186856146635378,pty_engine_feed,4
186856146638078,186856146656468,event_wait,0
186856146659018,186856146677398,pty_engine_feed,4
186856146680198,186856146699488,event_wait,0
186856146701818,186856146719218,pty_engine_feed,4
186856146721998,186856146741678,event_wait,0
186856146744108,186856146762268,pty_engine_feed,4
186856146764948,186856146784328,event_wait,0
186856146786818,186856146804518,pty_engine_feed,4
186856146807158,186856146825898,event_wait,0
186856146828528,186856146846178,pty_engine_feed,4
186856146849188,186856146868598,event_wait,0
186856146871098,186856147063998,pty_engine_feed,4
186856147072877,186856147096867,event_wait,0
186856147100127,186856147122867,pty_engine_feed,4
186856147126107,186856147146707,event_wait,0
186856147149207,186856147167927,pty_engine_feed,4
186856147170767,186856147191857,event_wait,0
186856147194287,186856147211877,pty_engine_feed,4
186856147214917,186856147234047,event_wait,0
186856147236597,186856147255017,pty_engine_feed,4
186856147257767,186856147277097,event_wait,0
186856147279537,186856147297797,pty_engine_feed,4
186856147300467,186856147319397,event_wait,0
186856147322017,186856147339787,pty_engine_feed,4
186856147342777,186856147361527,event_wait,0
186856147363947,186856147382027,pty_engine_feed,4
186856147384797,186856147402927,event_wait,0
186856147405287,186856147423927,pty_engine_feed,4
186856147426587,186856147446497,event_wait,0
186856147448887,186856147467017,pty_engine_feed,4
186856147469757,186856147488937,event_wait,0
