start_ns,end_ns,stage,bytes
186237544196092,186237544359472,pty_engine_feed,7
186237544386682,186237544407992,graphics_map_pointer,2457600
186237544410612,186237544429972,engine_render_unmap,2457600
186237544451592,186237545960339,gl_texture_swap,2457600
186237547833396,186237554356337,event_wait,0
186237554365637,186237554375156,graphics_map_pointer,14513408
186237554377056,186237554386946,engine_render_unmap,14513408
186237554415046,186237555187355,gl_texture_swap,14513408
186237555191865,186237558057641,event_wait,0
186237558062921,186237594152986,event_wait,0
186237594161126,186237594285296,pty_engine_feed,4
186237594292006,186237594305076,graphics_map_pointer,14513408
186237594307056,186237594313196,engine_render_unmap,14513408
186237594322036,186237595079504,gl_texture_swap,14513408
186237595088874,186237595188904,pty_engine_feed,4
186237595195884,186237595235314,event_wait,0
186237595238884,186237595262394,pty_engine_feed,4
186237595267604,186237595294494,event_wait,0
186237595297504,186237595319594,pty_engine_feed,4
186237595324364,186237595349104,event_wait,0
186237595352024,186237595373844,pty_engine_feed,4
186237595378584,186237595402734,event_wait,0
186237595405774,186237595426754,pty_engine_feed,4
186237595431274,186237595454474,event_wait,0
186237595457444,186237595479234,pty_engine_feed,4
186237595483614,186237595505514,event_wait,0
186237595508714,186237595530344,pty_engine_feed,4
186237595535104,186237595558464,event_wait,0
186237595561354,186237595582454,pty_engine_feed,4
186237595586694,186237595607274,event_wait,0
186237595610254,186237595631544,pty_engine_feed,4
186237595635994,186237595657023,event_wait,0
186237595659883,186237595681173,pty_engine_feed,4
186237595685553,186237595705913,event_wait,0
186237595709013,186237595730043,pty_engine_feed,4
186237595734523,186237595755533,event_wait,0
186237595758233,186237595779233,pty_engine_feed,4
186237595783403,186237595805473,event_wait,0
186237595808543,186237595829523,pty_engine_feed,4
186237595834093,186237595857253,event_wait,0
186237595859903,186237596029903,pty_engine_feed,4
186237596039663,186237596067233,event_wait,0
186237596070923,186237596093843,pty_engine_feed,4
186237596098533,186237596120653,event_wait,0
186237596123903,186237596145913,pty_engine_feed,4
186237596150403,186237596172453,event_wait,0
186237596175133,186237596196973,pty_engine_feed,4
186237596201183,186237596220903,event_wait,0
186237596223693,186237596245263,pty_engine_feed,4
186237596249293,186237596270513,event_wait,0
186237596273583,186237596295243,pty_engine_feed,4
186237596299573,186237596319372,event_wait,0
186237596322332,186237596343302,pty_engine_feed,4
186237596347932,186237596370232,event_wait,0
186237596373152,186237596394512,pty_engine_feed,4
186237596398992,186237596421902,event_wait,0
186237596424792,186237596447072,pty_engine_feed,4
186237596451462,186237596473562,event_wait,0
186237596476372,186237596498292,pty_engine_feed,4
186237596502702,186237596524842,event_wait,0
186237596527532,186237596549042,pty_engine_feed,4
186237596553402,186237596574312,event_wait,0
186237596577282,186237596598192,pty_engine_feed,4
186237596603012,186237596625902,event_wait,0
186237596628902,186237596651022,pty_engine_feed,4
186237596655262,186237596676912,event_wait,0
186237596679592,186237596701002,pty_engine_feed,4
186237596705282,186237596726042,event_wait,0
186237596728822,186237596749802,pty_engine_feed,4
186237596753752,186237596774502,event_wait,0
186237596777742,186237596798962,pty_engine_feed,4
186237596803192,186237596823482,event_wait,0
186237596826702,186237596931752,pty_engine_feed,4
186237596940332,186237596965262,event_wait,0
186237596968861,186237596990591,pty_engine_feed,4
186237596995041,186237597023461,event_wait,0
186237597026831,186237597049181,pty_engine_feed,4
186237597053771,186237597076301,event_wait,0
186237597079041,186237597100161,pty_engine_feed,4
186237597104641,186237597126421,event_wait,0
186237597129561,186237597151231,pty_engine_feed,4
186237597155721,186237597176791,event_wait,0
186237597179611,186237597200741,pty_engine_feed,4
186237597204841,186237597229911,event_wait,0
186237597235091,186237597257071,pty_engine_feed,4
186237597261471,186237597281311,event_wait,0
186237597284131,186237597305931,pty_engine_feed,4
186237597310361,186237597331101,event_wait,0
186237597334231,186237597356291,pty_engine_feed,4
186237597360421,186237597380691,event_wait,0
186237597383481,186237597405291,pty_engine_feed,4
186237597409611,186237597430521,event_wait,0
186237597433351,186237597454431,pty_engine_feed,4
186237597458761,186237597479581,event_wait,0
186237597482421,186237597503351,pty_engine_feed,4
186237597507501,186237598484329,event_wait,0
186237598487279,186237598583559,pty_engine_feed,4
186237598591149,186237598613969,event_wait,0
186237598616979,186237598638469,pty_engine_feed,4
186237598642849,186237598666959,event_wait,0
186237598669809,186237598691329,pty_engine_feed,4
186237598695679,186237598716949,event_wait,0
186237598719859,186237598740609,pty_engine_feed,4
186237598745159,186237598765509,event_wait,0
186237598768459,186237598789829,pty_engine_feed,4
186237598794219,186237598815859,event_wait,0
186237598818659,186237598839839,pty_engine_feed,4
186237598844029,186237598865479,event_wait,0
186237598868299,186237598888989,pty_engine_feed,4
186237598893209,186237598914049,event_wait,0
186237598917099,186237598938198,pty_engine_feed,4
186237598942308,186237598964648,event_wait,0
186237598967318,186237598988698,pty_engine_feed,4
186237598993198,186237599023358,event_wait,0
186237599026828,186237599049838,pty_engine_feed,4
186237599054278,186237599075098,event_wait,0
186237599077828,186237599099068,pty_engine_feed,4
186237599103528,186237599123678,event_wait,0
186237599126438,186237599147268,pty_engine_feed,4
186237599151558,186237599172308,event_wait,0
186237599175118,186237599196618,pty_engine_feed,4
186237599200838,186237599223408,event_wait,0
186237599226228,186237599247458,pty_engine_feed,4
186237599251438,186237599272158,event_wait,0
186237599275038,186237599296398,pty_engine_feed,4
186237599300568,186237599320528,event_wait,0
186237599323238,186237599344808,pty_engine_feed,4
186237599348988,186237599370648,event_wait,0
186237599373558,186237599395098,pty_engine_feed,4
186237599399478,186237599420628,event_wait,0
186237599423638,186237599445028,pty_engine_feed,4
186237599449548,186237599471438,event_wait,0
186237599474588,186237599496548,pty_engine_feed,4
186237599501008,186237599521998,event_wait,0
186237599524998,186237599546358,pty_engine_feed,4
186237599551028,186237599571228,event_wait,0
186237599573948,186237599708247,pty_engine_feed,4
186237599717717,186237599742427,event_wait,0
186237599746077,186237599767867,pty_engine_feed,4
186237599772447,186237599793337,event_wait,0
186237599796657,186237599817957,pty_engine_feed,4
186237599822117,186237599843297,event_wait,0
186237599846047,186237599866987,pty_engine_feed,4
186237599871157,186237599891947,event_wait,0
186237599894977,186237599916137,pty_engine_feed,4
186237599920487,186237599940167,event_wait,0
186237599942877,186237599964157,pty_engine_feed,4
186237599968527,186237599988707,event_wait,0
186237599991527,186237600015357,pty_engine_feed,4
186237600020737,186237600044347,event_wait,0
186237600047257,186237600068897,pty_engine_feed,4
186237600073307,186237600095337,event_wait,0
186237600098097,186237600119877,pty_engine_feed,4
186237600124357,186237600144627,event_wait,0
186237600147427,186237600168647,pty_engine_feed,4
186237600172727,186237600193237,event_wait,0
186237600196167,186237600217277,pty_engine_feed,4
186237600221337,186237600241227,event_wait,0
186237600244146,186237600265456,pty_engine_feed,4
186237600269886,186237600289656,event_wait,0
186237600292406,186237600313626,pty_engine_feed,4
186237600317846,186237600337796,event_wait,0
186237600340616,186237600361496,pty_engine_feed,4
186237600365736,186237600386886,event_wait,0
186237600389686,186237600410706,pty_engine_feed,4
186237600415136,186237600435996,event_wait,0
186237600438726,186237600459876,pty_engine_feed,4
186237600465426,186237600489656,event_wait,0
186237600492656,186237600514236,pty_engine_feed,4
186237600518656,186237600548926,event_wait,0
186237600553786,186237600575836,pty_engine_feed,4
186237600580336,186237600600946,event_wait,0
186237600603896,186237600625806,pty_engine_feed,4
186237600630526,186237600652816,event_wait,0
186237600655716,186237600677256,pty_engine_feed,4
186237600681406,186237600701536,event_wait,0
186237600704386,186237600726076,pty_engine_feed,4
186237600730346,186237600750156,event_wait,0
186237600753006,186237600774296,pty_engine_feed,4
186237600778506,186237600798116,event_wait,0
186237600800886,186237600822386,pty_engine_feed,4
186237600826716,186237600846646,event_wait,0
186237600849346,186237600869866,pty_engine_feed,4
186237600874666,186237600894816,event_wait,0
186237600897546,186237600918875,pty_engine_feed,4
186237600923275,186237600945565,event_wait,0
186237600948355,186237600969855,pty_engine_feed,4
186237600974165,186237600995065,event_wait,0
186237600997905,186237601022075,pty_engine_feed,4
186237601026755,186237601047815,event_wait,0
186237601050665,186237601072415,pty_engine_feed,4
186237601076485,186237601096435,event_wait,0
186237601099525,186237601120605,pty_engine_feed,4
186237601124825,186237601144345,event_wait,0
186237601147165,186237601168485,pty_engine_feed,4
186237601172815,186237601192195,event_wait,0
186237601194955,186237601218755,pty_engine_feed,4
186237601223305,186237601243485,event_wait,0
186237601246225,186237601267925,pty_engine_feed,4
186237601272475,186237601292875,event_wait,0
186237601295795,186237601317175,pty_engine_feed,4
186237601321775,186237601341545,event_wait,0
186237601344465,186237601365205,pty_engine_feed,4
186237601369565,186237601390405,event_wait,0
186237601393295,186237601414375,pty_engine_feed,4
186237601418785,186237601440355,event_wait,0
186237601443335,186237601464345,pty_engine_feed,4
186237601468805,186237601489855,event_wait,0
186237601492675,186237601513605,pty_engine_feed,4
186237601517985,186237601538555,event_wait,0
186237601541355,186237601562934,pty_engine_feed,4
186237601567204,186237601587654,event_wait,0
186237601590444,186237601611954,pty_engine_feed,4
186237601616304,186237603468752,event_wait,0
186237603472122,186237603481792,graphics_map_pointer,14513408
186237603483442,186237603489562,engine_render_unmap,14513408
186237603497912,186237603545331,gl_texture_swap,14513408
186237603548061,186237603570701,event_wait,0
186237603573351,186237607036966,event_wait,0
186237607039226,186237607487765,event_wait,0
186237607497205,186237607514405,event_wait,0
