start_ns,end_ns,stage,bytes
186994474300467,186994474466176,pty_engine_feed,7
186994474496956,186994474519336,graphics_map_pointer,2457600
186994474526696,186994474546166,engine_render_unmap,2457600
186994474560766,186994475337555,gl_texture_swap,2457600
186994477024492,186994478052121,event_wait,0
186994478058751,186994483732382,event_wait,0
186994483746722,186994483765352,graphics_map_pointer,14513408
186994483767042,186994483783472,engine_render_unmap,14513408
186994483923532,186994484592961,gl_texture_swap,14513408
186994484597961,186994485631049,event_wait,0
186994485634329,186994548307074,event_wait,0
186994548327654,186994548481973,pty_engine_feed,4
186994548491793,186994548542683,event_wait,0
186994548636623,186994549208032,pty_engine_feed,65516
186994549220242,186994549244532,graphics_map_pointer,14513408
186994549246062,186994549252492,engine_render_unmap,14513408
186994549265452,186994550089341,gl_texture_swap,14513408
186994550179671,186994550455830,pty_engine_feed,65516
186994550461710,186994550507790,event_wait,0
186994550588010,186994550780310,pty_engine_feed,65516
186994550784470,186994552201078,event_wait,0
186994552291808,186994552565037,pty_engine_feed,65516
186994552572067,186994552596277,event_wait,0
186994552683417,186994552877187,pty_engine_feed,65516
186994552881057,186994558490988,event_wait,0
186994558500588,186994558516838,graphics_map_pointer,14513408
186994558518418,186994558528188,engine_render_unmap,14513408
186994558538598,186994558601818,gl_texture_swap,14513408
186994558605418,186994558621848,event_wait,0
186994558633498,186994558636278,event_wait,0
