start_ns,end_ns,stage,bytes
186994187187765,186994187345474,pty_engine_feed,7
186994187375744,186994187398014,graphics_map_pointer,2457600
186994187404884,186994187424424,engine_render_unmap,2457600
186994187442044,186994188121873,gl_texture_swap,2457600
186994189901861,186994192297907,event_wait,0
186994192304877,186994196514820,event_wait,0
186994196523290,186994196534670,graphics_map_pointer,14513408
186994196536170,186994196546480,engine_render_unmap,14513408
186994196623880,186994197902738,gl_texture_swap,14513408
186994197907578,186994201806542,event_wait,0
186994201810952,186994228299742,event_wait,0
186994228304772,186994228431912,pty_engine_feed,4
186994228439122,186994228451632,graphics_map_pointer,14513408
186994228452912,186994228459122,engine_render_unmap,14513408
186994228467672,186994229225371,gl_texture_swap,14513408
186994229362430,186994230418969,pty_engine_feed,65516
186994230435819,186994230468219,event_wait,0
186994230506699,186994230588638,pty_engine_feed,24064
186994230659618,186994230840898,pty_engine_feed,41452
186994230845208,186994230872768,event_wait,0
186994230938018,186994231031188,pty_engine_feed,42496
186994231065308,186994231235077,pty_engine_feed,23020
186994231239167,186994231264777,event_wait,0
186994231365287,186994231480477,pty_engine_feed,56832
186994231495447,186994231646797,pty_engine_feed,8684
186994231650617,186994231675187,event_wait,0
186994231747537,186994231853267,pty_engine_feed,46592
186994231885686,186994232046806,pty_engine_feed,18924
186994232051106,186994237616028,event_wait,0
186994237620388,186994237631438,graphics_map_pointer,14513408
186994237632788,186994237640648,engine_render_unmap,14513408
186994237648568,186994237697288,gl_texture_swap,14513408
186994237699698,186994237725128,event_wait,0
186994237727428,186994237752368,event_wait,0
186994237762308,186994237779767,event_wait,0
