start_ns,end_ns,stage,bytes
177618433290562,177618435723588,pty_engine_feed,7
177618435765698,177618435792268,graphics_map_pointer,2457600
177618435798408,177618435819028,engine_render_unmap,2457600
177618435845248,177618437203116,gl_texture_swap,2457600
177618441032900,177618445605343,event_wait,0
177618445616043,177618445626423,graphics_map_pointer,14513408
177618445628143,177618445638733,engine_render_unmap,14513408
177618445683543,177618446551411,gl_texture_swap,14513408
177618446560881,177618449312477,event_wait,0
177618449322007,177618494911018,event_wait,0
177618494927198,177618495044977,pty_engine_feed,4
177618495129587,177618495154167,graphics_map_pointer,14513408
177618495156147,177618495164347,engine_render_unmap,14513408
177618495177527,177618496049596,gl_texture_swap,14513408
177618496153246,177618496522765,pty_engine_feed,65516
177618496551015,177618496594615,event_wait,0
177618496630445,177618496684065,pty_engine_feed,26112
177618496720945,177618496773855,pty_engine_feed,22528
177618496801115,177618496944594,pty_engine_feed,16876
177618496959714,177618498136933,event_wait,0
177618498222813,177618498460442,pty_engine_feed,65516
177618498481972,177618498516222,event_wait,0
177618498545342,177618498597472,pty_engine_feed,22016
177618498631962,177618498681552,pty_engine_feed,22528
177618498710682,177618498854132,pty_engine_feed,20972
177618498869442,177618498897542,event_wait,0
177618498921561,177618498980811,pty_engine_feed,24064
177618499040211,177618499185091,pty_engine_feed,41452
177618499201581,177618504441963,event_wait,0
177618504451293,177618504478943,graphics_map_pointer,14513408
177618504480373,177618504490783,engine_render_unmap,14513408
177618504505573,177618504597073,gl_texture_swap,14513408
177618504599573,177618504645403,event_wait,0
177618504647713,177618505024802,event_wait,0
177618505037922,177618505057942,event_wait,0
