start_ns,end_ns,stage,bytes
188161563026798,188161563199998,pty_engine_feed,7
188161563238447,188161563263407,graphics_map_pointer,2457600
188161563271077,188161563291097,engine_render_unmap,2457600
188161563316007,188161564014836,gl_texture_swap,2457600
188161566301373,188161567425021,event_wait,0
188161567432301,188161572413363,event_wait,0
188161572419943,188161572432313,graphics_map_pointer,14513408
188161572433633,188161572444853,engine_render_unmap,14513408
188161572530373,188161573197242,gl_texture_swap,14513408
188161573202332,188161574845850,event_wait,0
188161574848940,188161583288387,event_wait,0
188161583294277,188161583413877,pty_engine_feed,4
188161583420147,188161583432037,graphics_map_pointer,14513408
188161583433217,188161583439567,engine_render_unmap,14513408
188161583447637,188161584186646,gl_texture_swap,14513408
188161584305985,188161584780445,pty_engine_feed,65524
188161584792005,188161584844335,event_wait,0
188161584885384,188161585023214,pty_engine_feed,28160
188161585111584,188161585267224,pty_engine_feed,37360
188161585270884,188161585290144,pty_engine_feed,4
188161585294334,188161585330244,event_wait,0
188161585446544,188161585609663,pty_engine_feed,58880
188161585620283,188161585753773,pty_engine_feed,6644
188161585757743,188161587335771,event_wait,0
188161587372651,188161587540070,pty_engine_feed,24064
188161587588380,188161587699590,pty_engine_feed,32768
188161587716210,188161587827620,pty_engine_feed,8692
188161587831370,188161587858660,event_wait,0
188161587925550,188161588049480,pty_engine_feed,40448
188161588094080,188161588221629,pty_engine_feed,25076
188161588225209,188161588248269,event_wait,0
188161588291629,188161588397739,pty_engine_feed,34304
188161588459319,188161588585019,pty_engine_feed,31220
188161588589199,188161588629889,event_wait,0
188161588677369,188161588819668,pty_engine_feed,30208
188161588879328,188161589048088,pty_engine_feed,35316
188161589053098,188161589079598,event_wait,0
188161589111828,188161589217578,pty_engine_feed,24064
188161589269158,188161589431638,pty_engine_feed,34816
188161589442307,188161589574357,pty_engine_feed,6644
188161589577577,188161589599827,event_wait,0
188161589672537,188161589786157,pty_engine_feed,40448
188161589822907,188161591412034,pty_engine_feed,24576
188161591422934,188161591525854,pty_engine_feed,500
188161591531264,188161591571534,event_wait,0
188161591701314,188161591855224,pty_engine_feed,65524
188161591859894,188161591882234,event_wait,0
188161591931034,188161592052344,pty_engine_feed,30208
188161592113503,188161592282253,pty_engine_feed,35316
188161592285863,188161592309423,event_wait,0
188161592345593,188161592442383,pty_engine_feed,24064
188161592507333,188161592649173,pty_engine_feed,38912
188161592651733,188161592661753,graphics_map_pointer,14513408
188161592662913,188161592668653,engine_render_unmap,14513408
188161592676533,188161592729822,gl_texture_swap,14513408
188161592736882,188161593117112,pty_engine_feed,2548
188161593126812,188161593146892,event_wait,0
188161593267862,188161593486621,pty_engine_feed,65524
188161593492321,188161593511971,event_wait,0
188161593626731,188161593786281,pty_engine_feed,65524
188161593789581,188161593813001,event_wait,0
188161593867951,188161593987361,pty_engine_feed,32256
188161594051980,188161595615058,pty_engine_feed,33268
188161595621298,188161595650748,event_wait,0
188161595714838,188161595831878,pty_engine_feed,40448
188161595874438,188161595995557,pty_engine_feed,25076
188161595999087,188161596024767,event_wait,0
188161596086067,188161596224307,pty_engine_feed,38400
188161596266177,188161596425417,pty_engine_feed,27124
188161596429317,188161596450077,event_wait,0
188161596523657,188161596641886,pty_engine_feed,48640
188161596669796,188161596788396,pty_engine_feed,16884
188161596792416,188161596817256,event_wait,0
188161596855656,188161596961356,pty_engine_feed,24064
188161597001156,188161597110746,pty_engine_feed,26624
188161597138796,188161597251266,pty_engine_feed,14836
188161597255106,188161597280506,event_wait,0
188161597399965,188161597559705,pty_engine_feed,65524
188161597563305,188161597585645,event_wait,0
