start_ns,end_ns,stage,bytes
188162224928238,188162225208277,pty_engine_feed,7
188162225248717,188162225278307,graphics_map_pointer,2457600
188162225285967,188162225306047,engine_render_unmap,2457600
188162225331057,188162226258986,gl_texture_swap,2457600
188162227959213,188162230678439,event_wait,0
188162230690229,188162234659673,event_wait,0
188162234675643,188162234701343,graphics_map_pointer,14513408
188162234703113,188162234719973,engine_render_unmap,14513408
188162234839693,188162235526842,gl_texture_swap,14513408
188162235535832,188162237964318,event_wait,0
188162237969968,188162285470635,event_wait,0
188162285488225,188162285644815,pty_engine_feed,4
188162285655435,188162285681745,graphics_map_pointer,14513408
188162285683045,188162285690425,engine_render_unmap,14513408
188162285705925,188162287325253,gl_texture_swap,14513408
188162287433032,188162288066251,pty_engine_feed,65524
188162288078871,188162288137101,event_wait,0
188162288182711,188162288317881,pty_engine_feed,34304
188162288361401,188162288516791,pty_engine_feed,31220
188162288520371,188162288555241,event_wait,0
188162288612471,188162288775350,pty_engine_feed,42496
188162288807300,188162288973290,pty_engine_feed,23028
188162288976300,188162289003000,event_wait,0
188162289088370,188162289262840,pty_engine_feed,65524
188162289266220,188162289298560,event_wait,0
188162289350390,188162289487839,pty_engine_feed,40448
188162289523219,188162289667319,pty_engine_feed,25076
188162289670369,188162289705259,event_wait,0
188162289755439,188162289886679,pty_engine_feed,40448
188162289928119,188162290049448,pty_engine_feed,24576
188162290052778,188162290170618,pty_engine_feed,500
188162290174038,188162291246987,event_wait,0
188162291293677,188162291433916,pty_engine_feed,34304
188162291461486,188162291629526,pty_engine_feed,24576
188162291641566,188162291789706,pty_engine_feed,6644
188162291793146,188162291837316,event_wait,0
188162291867986,188162291987495,pty_engine_feed,22016
188162292023485,188162292143165,pty_engine_feed,28672
188162292166635,188162292301225,pty_engine_feed,14836
188162292304555,188162292346785,event_wait,0
188162292378225,188162292504615,pty_engine_feed,22016
188162292537585,188162292675444,pty_engine_feed,24576
188162292703274,188162292879784,pty_engine_feed,18932
188162292883554,188162292929084,event_wait,0
188162292958654,188162293101564,pty_engine_feed,30208
188162293143984,188162293342263,pty_engine_feed,35316
188162293346353,188162293371463,event_wait,0
188162293436933,188162293591023,pty_engine_feed,65024
188162293594063,188162293702763,pty_engine_feed,500
188162293706463,188162293728133,event_wait,0
188162293812263,188162293999742,pty_engine_feed,62976
188162294005372,188162294159462,pty_engine_feed,2548
188162294163132,188162295327070,event_wait,0
188162295371420,188162295602820,pty_engine_feed,38400
188162295625730,188162295813810,pty_engine_feed,20480
188162295819620,188162295839430,graphics_map_pointer,14513408
188162295840620,188162295847940,engine_render_unmap,14513408
188162295862200,188162295942709,gl_texture_swap,14513408
188162295959009,188162296310709,pty_engine_feed,6644
188162296321619,188162296347979,event_wait,0
188162296427009,188162296669548,pty_engine_feed,65520
188162296676058,188162296694058,pty_engine_feed,4
188162296698078,188162296723038,event_wait,0
188162296762958,188162296926388,pty_engine_feed,42496
188162296959058,188162297128408,pty_engine_feed,23028
188162297132158,188162297172388,event_wait,0
188162297208988,188162297352607,pty_engine_feed,32256
188162297392137,188162297546037,pty_engine_feed,33268
188162297549257,188162297571967,event_wait,0
