start_ns,end_ns,stage,bytes
188211107954868,188211108142738,pty_engine_feed,7
188211108174748,188211108194928,graphics_map_pointer,2457600
188211108204758,188211108231598,engine_render_unmap,2457600
188211108244658,188211108980717,gl_texture_swap,2457600
188211110434754,188211113157700,event_wait,0
188211113167300,188211117372624,event_wait,0
188211117378144,188211117390234,graphics_map_pointer,14513408
188211117391744,188211117404874,engine_render_unmap,14513408
188211117489784,188211118162253,gl_texture_swap,14513408
188211118167183,188211120815018,event_wait,0
188211120818988,188211162594575,event_wait,0
188211162618965,188211162767054,pty_engine_feed,4
188211162779204,188211162805904,graphics_map_pointer,14513408
188211162807384,188211162815264,engine_render_unmap,14513408
188211162828554,188211163615103,gl_texture_swap,14513408
188211163765863,188211164338892,pty_engine_feed,65524
188211164351882,188211164399292,event_wait,0
188211164436572,188211164741991,pty_engine_feed,24064
188211164785161,188211164895171,pty_engine_feed,32768
188211164911001,188211165014021,pty_engine_feed,8692
188211165020011,188211168876995,event_wait,0
188211168909345,188211169121145,pty_engine_feed,26112
188211169198475,188211171327751,pty_engine_feed,39412
188211171333971,188211171367451,event_wait,0
188211171427771,188211171579151,pty_engine_feed,54784
188211171598061,188211171738591,pty_engine_feed,10740
188211171743501,188211171770401,event_wait,0
188211171821561,188211171953420,pty_engine_feed,38400
188211171959470,188211171981750,graphics_map_pointer,14513408
188211171982840,188211171990070,engine_render_unmap,14513408
188211172005890,188211172086160,gl_texture_swap,14513408
188211172133340,188211172454910,pty_engine_feed,27124
188211172466560,188211172486210,event_wait,0
188211172509260,188211172767319,pty_engine_feed,19968
188211172849419,188211173225729,pty_engine_feed,45556
188211173231269,188211173262088,event_wait,0
188211173391118,188211173546458,pty_engine_feed,65524
188211173550748,188211176985073,event_wait,0
188211177075123,188211177288982,pty_engine_feed,46592
188211177332152,188211179424059,pty_engine_feed,18932
188211179439579,188211179504079,event_wait,0
188211179582099,188211179733539,pty_engine_feed,44544
188211179785459,188211179936318,pty_engine_feed,20980
188211179941008,188211179980648,event_wait,0
188211180065778,188211180209578,pty_engine_feed,46592
188211180245248,188211180387558,pty_engine_feed,18932
188211180392118,188211180421078,event_wait,0
188211180498557,188211180651447,pty_engine_feed,42496
188211180658857,188211180698587,graphics_map_pointer,14513408
188211180700287,188211180707427,engine_render_unmap,14513408
188211180721117,188211180790387,gl_texture_swap,14513408
188211180843107,188211181427006,pty_engine_feed,23028
188211181441236,188211181469266,event_wait,0
188211181521456,188211181735476,pty_engine_feed,30208
188211181787785,188211181961225,pty_engine_feed,30720
188211181973605,188211182100735,pty_engine_feed,4596
188211182106655,188211185519990,event_wait,0
188211185619600,188211185847619,pty_engine_feed,46592
188211185887629,188211187962766,pty_engine_feed,18932
188211187968426,188211188010906,event_wait,0
188211188049436,188211188186476,pty_engine_feed,26112
188211188257746,188211188432295,pty_engine_feed,39412
188211188436255,188211188467245,event_wait,0
188211188502945,188211188632585,pty_engine_feed,26112
188211188702785,188211188864285,pty_engine_feed,39412
188211188868285,188211188896325,event_wait,0
188211188987914,188211189116284,pty_engine_feed,52736
188211189137694,188211189249214,pty_engine_feed,12788
188211189256164,188211189293074,graphics_map_pointer,14513408
188211189294574,188211189302084,engine_render_unmap,14513408
188211189316004,188211189393674,gl_texture_swap,14513408
188211189433714,188211189956003,pty_engine_feed,19968
188211190013813,188211190314162,pty_engine_feed,32768
188211190341432,188211190452872,pty_engine_feed,12788
188211190457802,188211193684997,event_wait,0
188211193732977,188211193953767,pty_engine_feed,26112
188211194008427,188211196174424,pty_engine_feed,34816
188211196197793,188211196336293,pty_engine_feed,4596
188211196347853,188211196390273,event_wait,0
188211196428813,188211196551843,pty_engine_feed,30208
188211196600803,188211196770673,pty_engine_feed,35316
188211196774813,188211196804243,event_wait,0
188211196832652,188211196960792,pty_engine_feed,19968
188211197008102,188211197156402,pty_engine_feed,28672
188211197189362,188211197309192,pty_engine_feed,16884
188211197313192,188211197341602,event_wait,0
188211197376702,188211197473022,pty_engine_feed,24064
188211197509291,188211197623541,pty_engine_feed,24576
188211197659661,188211198015711,pty_engine_feed,16884
188211198025151,188211198065521,graphics_map_pointer,14513408
188211198067511,188211198076041,engine_render_unmap,14513408
188211198090281,188211198164080,gl_texture_swap,14513408
188211198220610,188211198512810,pty_engine_feed,30208
188211198583080,188211198896719,pty_engine_feed,35316
188211198903619,188211202139544,event_wait,0
188211202200514,188211202402314,pty_engine_feed,40448
188211202454474,188211204443521,pty_engine_feed,25076
188211204452651,188211204489001,event_wait,0
188211204529501,188211204665281,pty_engine_feed,28160
188211204704150,188211204838700,pty_engine_feed,24576
188211204860780,188211204972050,pty_engine_feed,12788
188211204976050,188211205013580,event_wait,0
188211205072740,188211205209590,pty_engine_feed,38400
188211205251200,188211205412569,pty_engine_feed,27124
188211205416809,188211205449279,event_wait,0
188211205509429,188211205616989,pty_engine_feed,34304
188211205670509,188211205782899,pty_engine_feed,30720
188211205786559,188211205880219,pty_engine_feed,500
188211205884129,188211205919519,event_wait,0
188211205969019,188211206081998,pty_engine_feed,32256
188211206130498,188211206264218,pty_engine_feed,28672
188211206272568,188211206404338,pty_engine_feed,4596
188211206408318,188211206463838,event_wait,0
188211206534198,188211206850237,pty_engine_feed,38400
188211206859687,188211206908357,graphics_map_pointer,14513408
188211206910477,188211206921347,engine_render_unmap,14513408
188211206937737,188211207460866,gl_texture_swap,14513408
188211207530396,188211207769276,pty_engine_feed,27124
188211207776286,188211210595321,event_wait,0
188211210684971,188211212475259,pty_engine_feed,42496
188211212539789,188211212907888,pty_engine_feed,23028
188211212919768,188211212951688,event_wait,0
188211213036168,188211213178398,pty_engine_feed,46592
188211213208678,188211213351457,pty_engine_feed,18932
188211213355817,188211213384377,event_wait,0
188211213478457,188211213619517,pty_engine_feed,54784
