start_ns,end_ns,stage,bytes
188211871306663,188211871479443,pty_engine_feed,7
188211871519793,188211871549253,graphics_map_pointer,2457600
188211871556853,188211871576473,engine_render_unmap,2457600
188211871601363,188211872405022,gl_texture_swap,2457600
188211874048249,188211874062169,event_wait,0
188211874069439,188211876786075,event_wait,0
188211876792725,188211880803279,event_wait,0
188211880809359,188211880823279,graphics_map_pointer,14513408
188211880824839,188211880839779,engine_render_unmap,14513408
188211880928149,188211881596828,gl_texture_swap,14513408
188211881601878,188211884059354,event_wait,0
188211884064004,188211936058265,event_wait,0
188211936077964,188211940669707,event_wait,0
188211940688597,188211940849687,pty_engine_feed,4
188211940862297,188211940895207,graphics_map_pointer,14513408
188211940896657,188211940904497,engine_render_unmap,14513408
188211940920787,188211943324613,gl_texture_swap,14513408
188211943541653,188211944105522,pty_engine_feed,65524
188211944121122,188211944166992,event_wait,0
188211944203282,188211944325812,pty_engine_feed,24064
188211944378702,188211944538782,pty_engine_feed,41460
188211944543032,188211944575352,event_wait,0
188211944605341,188211944724861,pty_engine_feed,22016
188211944783541,188211944947071,pty_engine_feed,43508
188211945217181,188211945391130,pty_engine_feed,65524
188211945396060,188211948798555,event_wait,0
188211948872385,188211949103905,pty_engine_feed,56832
188211949122375,188211949256934,pty_engine_feed,8692
188211949262174,188211951008432,event_wait,0
188211951082192,188211951331401,pty_engine_feed,58880
188211951341341,188211951489881,pty_engine_feed,6644
188211951493721,188211951529051,event_wait,0
188211951551301,188211951671741,pty_engine_feed,22016
188211951678331,188211951704281,graphics_map_pointer,14513408
188211951705581,188211951712801,engine_render_unmap,14513408
188211951727061,188211951816430,gl_texture_swap,14513408
188211951876060,188211952179540,pty_engine_feed,43508
188211952226540,188211952518879,pty_engine_feed,19968
188211952547189,188211952696239,pty_engine_feed,20480
188211952729989,188211953019709,pty_engine_feed,25076
188211953025079,188211953055069,event_wait,0
188211953138888,188211953323258,pty_engine_feed,65524
188211953328578,188211957085092,event_wait,0
188211957137532,188211957382162,pty_engine_feed,44544
188211957411672,188211957571762,pty_engine_feed,20480
188211957575232,188211959307559,pty_engine_feed,500
188211959397659,188211959545509,pty_engine_feed,56832
188211959562519,188211959682818,pty_engine_feed,8692
188211959687988,188211959721448,event_wait,0
188211959799008,188211959965188,pty_engine_feed,65520
188211959968088,188211959986238,pty_engine_feed,4
188211959989798,188211960017538,event_wait,0
188211960098328,188211960272738,pty_engine_feed,65524
188211960280178,188211960322908,graphics_map_pointer,14513408
188211960324328,188211960331437,engine_render_unmap,14513408
188211960344907,188211960418057,gl_texture_swap,14513408
188211960491727,188211960807427,pty_engine_feed,65524
188211960904607,188211961151496,pty_engine_feed,65524
188211961160326,188211961186936,event_wait,0
188211961247656,188211961428326,pty_engine_feed,60928
188211961436506,188211961744505,pty_engine_feed,4596
188211961748595,188211965268310,event_wait,0
188211965309110,188211965543410,pty_engine_feed,30208
188211965622979,188211965801069,pty_engine_feed,32768
188211965805739,188211967321117,pty_engine_feed,2548
188211967326117,188211967640166,event_wait,0
188211967678096,188211967833226,pty_engine_feed,30208
188211967858536,188211967998706,pty_engine_feed,20480
188211968024056,188211968153366,pty_engine_feed,14836
188211968158696,188211968189235,event_wait,0
188211968267975,188211968446605,pty_engine_feed,65524
188211968451715,188211968474165,event_wait,0
188211968532145,188211968697125,pty_engine_feed,54784
188211968711695,188211968867194,pty_engine_feed,10740
188211968873204,188211968917324,graphics_map_pointer,14513408
188211968918904,188211968926994,engine_render_unmap,14513408
188211968940224,188211969021344,gl_texture_swap,14513408
188211969168314,188211969379074,pty_engine_feed,52736
188211969406084,188211969847333,pty_engine_feed,12788
188211969864103,188211969882933,event_wait,0
188211969908523,188211970063643,pty_engine_feed,26112
188211970089783,188211970244262,pty_engine_feed,24576
188211970262082,188211970388702,pty_engine_feed,14832
188211970391322,188211970410752,pty_engine_feed,4
188211970415502,188211973912857,event_wait,0
188211973940537,188211974170016,pty_engine_feed,19968
188211975538194,188211975970604,pty_engine_feed,22528
188211976004284,188211976180543,pty_engine_feed,23028
188211976186343,188211976228863,event_wait,0
188211976308333,188211976483873,pty_engine_feed,65524
188211976487973,188211976515463,event_wait,0
188211976545693,188211976698633,pty_engine_feed,26112
188211976722272,188211976893232,pty_engine_feed,20480
188211976918522,188211977091242,pty_engine_feed,18932
188211977097982,188211977136592,event_wait,0
188211977223732,188211977401441,pty_engine_feed,65524
188211977408841,188211977450481,graphics_map_pointer,14513408
188211977451871,188211977458721,engine_render_unmap,14513408
188211977471831,188211977548451,gl_texture_swap,14513408
188211977640711,188211977947541,pty_engine_feed,65524
188211977957401,188211977994311,event_wait,0
188211978080280,188211978451500,pty_engine_feed,65524
188211978456000,188211982163034,event_wait,0
188211982263954,188211982458304,pty_engine_feed,65524
188211982464824,188211984054531,event_wait,0
188211984151351,188211984407831,pty_engine_feed,65524
188211984510851,188211984693690,pty_engine_feed,65524
188211984699300,188211984726660,event_wait,0
188211984812810,188211984993650,pty_engine_feed,65524
188211984997420,188211985042330,event_wait,0
188211985125730,188211985302439,pty_engine_feed,65524
188211985306549,188211985335919,event_wait,0
188211985420509,188211985588039,pty_engine_feed,65524
188211985591659,188211985615669,event_wait,0
188211985703629,188211985876669,pty_engine_feed,65524
188211985880429,188211985905498,event_wait,0
188211985988928,188211986233968,pty_engine_feed,65524
188211986247178,188211986285308,graphics_map_pointer,14513408
188211986287238,188211986294708,engine_render_unmap,14513408
188211986308378,188211986695577,gl_texture_swap,14513408
188211986791917,188211987047407,pty_engine_feed,65524
188211987054037,188211990977551,event_wait,0
188211991117811,188211992741738,pty_engine_feed,65524
188211992761028,188211992807438,event_wait,0
188211992862318,188211993006988,pty_engine_feed,22016
188211993042678,188211993187387,pty_engine_feed,20480
188211993222867,188211993379937,pty_engine_feed,23028
188211993385747,188211993423877,event_wait,0
188211993458687,188211993606297,pty_engine_feed,19968
188211993665517,188211993822216,pty_engine_feed,32768
188211993845066,188211993979156,pty_engine_feed,12788
188211993983956,188211994010226,event_wait,0
188211994107896,188211994249086,pty_engine_feed,50688
188211994277006,188211994420295,pty_engine_feed,14836
188211994424975,188211994504605,event_wait,0
188211994624185,188211994922275,pty_engine_feed,65524
188211994927125,188211995086054,event_wait,0
188211995136764,188211995276454,pty_engine_feed,32256
188211995282894,188211995323014,graphics_map_pointer,14513408
188211995324484,188211995331774,engine_render_unmap,14513408
188211995343794,188211995412984,gl_texture_swap,14513408
188211995473974,188211995808783,pty_engine_feed,33268
188211995823113,188211998718889,event_wait,0
188211998818339,188211998965889,pty_engine_feed,52736
188211998988469,188211999133298,pty_engine_feed,12788
188211999138818,188212000875956,event_wait,0
188212000986565,188212001220085,pty_engine_feed,56832
188212001241745,188212001375905,pty_engine_feed,8692
188212001380645,188212001408575,event_wait,0
188212001445765,188212001566035,pty_engine_feed,24064
