start_ns,end_ns,stage,bytes
181574892008645,181574892039945,graphics_map_pointer,2457600
181574892055165,181574892094715,engine_render_unmap,2457600
181574892122645,181574893546923,gl_texture_swap,2457600
181574893554803,181574894086992,event_wait,0
181574895696020,181574901945570,event_wait,0
181574901964640,181574901981580,graphics_map_pointer,14513408
181574901983930,181574902004200,engine_render_unmap,14513408
181574902056380,181574902776509,gl_texture_swap,14513408
181574902781829,181574905355765,event_wait,0
181574905362445,181575005472692,event_wait,0
181575005492902,181575105605440,event_wait,0
181575105621310,181575205729177,event_wait,0
181575205743427,181575305857514,event_wait,0
181575305870144,181575405972081,event_wait,0
181575405994711,181575506095978,event_wait,0
181575506114918,181575606221306,event_wait,0
181575606238686,181575706336163,event_wait,0
181575706351443,181575723643997,event_wait,0
181575723652347,181575725371304,pty_engine_feed,30
181575725394244,181575725421044,graphics_map_pointer,14513408
181575725422754,181575725432354,engine_render_unmap,14513408
181575725446024,181575737383066,gl_texture_swap,14513408
181575737407736,181575738368564,event_wait,0
181575738371184,181575752606312,event_wait,0
181575752611072,181575752780922,pty_engine_feed,31
181575752798222,181575752824872,graphics_map_pointer,14513408
181575752825962,181575752834842,engine_render_unmap,14513408
181575752851232,181575752935552,gl_texture_swap,14513408
181575752941442,181575752988412,event_wait,0
181575752990452,181575754323780,event_wait,0
181575754338020,181575766425801,event_wait,0
181575766478441,181575771549103,pty_engine_feed,17350
181575771570963,181575771614253,graphics_map_pointer,14513408
181575771615983,181575771626933,engine_render_unmap,14513408
181575771647223,181575771724323,gl_texture_swap,14513408
181575771809803,181575780039470,pty_engine_feed,26200
181575780165940,181575790880954,pty_engine_feed,28550
181575790899474,181575790922264,graphics_map_pointer,14513408
181575790923954,181575790933224,engine_render_unmap,14513408
181575790941454,181575790988374,gl_texture_swap,14513408
181575790995664,181575792220152,pty_engine_feed,2930
181575792245242,181575798100223,event_wait,0
181575798117833,181575799050061,event_wait,0
181575799055511,181575799376901,event_wait,0
181575799384061,181575799433451,graphics_map_pointer,14513408
181575799434901,181575799452651,engine_render_unmap,14513408
181575799465271,181575799539701,gl_texture_swap,14513408
181575799542211,181575799573501,event_wait,0
181575799575931,181575812398011,event_wait,0
181575812405511,181575825918880,event_wait,0
181575826010540,181575832995690,pty_engine_feed,24800
181575833024600,181575833075190,graphics_map_pointer,14513408
181575833078030,181575833091700,engine_render_unmap,14513408
181575833112739,181575833614119,gl_texture_swap,14513408
181575833690599,181575841699856,pty_engine_feed,25625
181575841780166,181575850801362,pty_engine_feed,24606
181575850819382,181575850843302,graphics_map_pointer,14513408
181575850844852,181575850852232,engine_render_unmap,14513408
181575850861552,181575850918542,gl_texture_swap,14513408
181575850925552,181575859302330,event_wait,0
181575859321419,181575860310368,event_wait,0
181575860313298,181575875035776,event_wait,0
181575875360635,181575890395112,pty_engine_feed,51200
181575890419202,181575890457112,graphics_map_pointer,14513408
181575890458822,181575890469552,engine_render_unmap,14513408
181575890482062,181575890553202,gl_texture_swap,14513408
181575890604262,181575898688189,pty_engine_feed,21333
181575898713269,181575899548018,pty_engine_feed,2497
181575899556558,181575899572978,graphics_map_pointer,14513408
181575899574298,181575899580038,engine_render_unmap,14513408
181575899587288,181575906748157,gl_texture_swap,14513408
181575906783637,181575920068247,event_wait,0
181575920084957,181575920714526,event_wait,0
181575920827906,181575928275504,pty_engine_feed,26350
181575928295364,181575928319434,graphics_map_pointer,14513408
181575928321024,181575928328304,engine_render_unmap,14513408
181575928341124,181575928424424,gl_texture_swap,14513408
181575928506064,181575936826031,pty_engine_feed,26450
181575936848291,181575936865601,graphics_map_pointer,14513408
181575936867061,181575936873971,engine_render_unmap,14513408
181575936880921,181575936921871,gl_texture_swap,14513408
181575936968021,181575946237537,pty_engine_feed,22231
181575946253397,181575946270897,graphics_map_pointer,14513408
181575946272197,181575946278367,engine_render_unmap,14513408
181575946285137,181575946324457,gl_texture_swap,14513408
181575946334817,181575955347943,event_wait,0
181575955352703,181575955716742,event_wait,0
181575955718472,181575969983111,event_wait,0
181575970562040,181575991930297,pty_engine_feed,65536
181575991946117,181575991984677,graphics_map_pointer,14513408
181575991986417,181575991994107,engine_render_unmap,14513408
181575992009947,181575992079007,gl_texture_swap,14513408
181575992104587,181575996652760,pty_engine_feed,9494
181575996666470,181576000469304,event_wait,0
181576000477834,181576000515384,graphics_map_pointer,14513408
181576000517104,181576000526994,engine_render_unmap,14513408
181576000542394,181576000615774,gl_texture_swap,14513408
181576000618354,181576002681491,event_wait,0
181576002696211,181576003268960,event_wait,0
181576003271150,181576018785916,event_wait,0
181576018808916,181576018827556,event_wait,0
