start_ns,end_ns,stage,bytes
181788716726494,181788716751034,graphics_map_pointer,2457600
181788716766244,181788716802734,engine_render_unmap,2457600
181788716822294,181788717516973,gl_texture_swap,2457600
181788717523523,181788717988112,event_wait,0
181788719527120,181788721686227,event_wait,0
181788721695807,181788725913170,event_wait,0
181788725926260,181788725943380,graphics_map_pointer,14513408
181788725945930,181788725965080,engine_render_unmap,14513408
181788726101030,181788726808279,gl_texture_swap,14513408
181788726814409,181788729251235,event_wait,0
181788729259125,181788829372652,event_wait,0
181788829392582,181788929504740,event_wait,0
181788929522720,181789029634667,event_wait,0
181789029655207,181789129774564,event_wait,0
181789129794324,181789229907001,event_wait,0
181789229924441,181789330034409,event_wait,0
181789330055549,181789430162156,event_wait,0
181789430181466,181789530293273,event_wait,0
181789530308443,181789579677338,event_wait,0
181789579687728,181789581249735,pty_engine_feed,30
181789581272045,181789581298815,graphics_map_pointer,14513408
181789581300535,181789581309225,engine_render_unmap,14513408
181789581321815,181789593016917,gl_texture_swap,14513408
181789593040407,181789594006096,event_wait,0
181789594008556,181789607435545,event_wait,0
181789607441615,181789607618795,pty_engine_feed,31
181789607636295,181789607660215,graphics_map_pointer,14513408
181789607661545,181789607669455,engine_render_unmap,14513408
181789607684205,181789607764755,gl_texture_swap,14513408
181789607770195,181789607797815,event_wait,0
181789607799635,181789608877593,event_wait,0
181789608885123,181789621244294,event_wait,0
181789621427294,181789622194703,pty_engine_feed,38725
181789622212953,181789622242133,graphics_map_pointer,14513408
181789622243793,181789622250273,engine_render_unmap,14513408
181789622262683,181789622324123,gl_texture_swap,14513408
181789622514962,181789622817552,pty_engine_feed,36305
181789622838022,181789630713560,event_wait,0
181789630716950,181789630736120,graphics_map_pointer,14513408
181789630737430,181789630745010,engine_render_unmap,14513408
181789630752480,181789630794560,gl_texture_swap,14513408
181789630796760,181789636732441,event_wait,0
181789636752251,181789636804150,event_wait,0
181789636806330,181789637720259,event_wait,0
181789637721949,181789649137002,event_wait,0
181789649328411,181789649582821,pty_engine_feed,22975
181789649601561,181789649643781,graphics_map_pointer,14513408
181789649645461,181789649652351,engine_render_unmap,14513408
181789649665991,181789649739711,gl_texture_swap,14513408
181789649915570,181789650151070,pty_engine_feed,32975
181789650196020,181789650926799,pty_engine_feed,19081
181789650940139,181789658126948,event_wait,0
181789658131378,181789658152038,graphics_map_pointer,14513408
181789658153508,181789658162218,engine_render_unmap,14513408
181789658171188,181789658546507,gl_texture_swap,14513408
181789658551737,181789664629058,event_wait,0
181789664632178,181789665129027,event_wait,0
181789665130747,181789677761168,event_wait,0
181789678290557,181789678575597,pty_engine_feed,65536
181789678588727,181789678624327,graphics_map_pointer,14513408
181789678625927,181789678632877,engine_render_unmap,14513408
181789678647687,181789678711156,gl_texture_swap,14513408
181789678731116,181789679154836,pty_engine_feed,9494
181789679170996,181789679890085,event_wait,0
181789679892025,181789687099214,event_wait,0
181789687102244,181789687121894,graphics_map_pointer,14513408
181789687123034,181789687130504,engine_render_unmap,14513408
181789687138804,181789687185424,gl_texture_swap,14513408
181789687187734,181789691435867,event_wait,0
181789691438517,181789692344376,event_wait,0
181789692346056,181789704931796,event_wait,0
181789704971956,181789705204316,pty_engine_feed,21333
181789705221446,181789705249146,graphics_map_pointer,14513408
181789705250416,181789705256776,engine_render_unmap,14513408
181789705268286,181789705321366,gl_texture_swap,14513408
181789705615345,181789705872045,pty_engine_feed,47742
181789705901675,181789706248414,pty_engine_feed,5956
181789706279204,181789713708983,event_wait,0
181789713722033,181789713760903,graphics_map_pointer,14513408
181789713768443,181789713778613,engine_render_unmap,14513408
181789713790583,181789713858253,gl_texture_swap,14513408
181789713860843,181789720351283,event_wait,0
181789720354853,181789720446383,event_wait,0
181789720448063,181789721032272,event_wait,0
181789721033942,181789733601463,event_wait,0
181789733647173,181789733867212,pty_engine_feed,21333
181789733883042,181789733912542,graphics_map_pointer,14513408
181789733914162,181789733920392,engine_render_unmap,14513408
181789733930912,181789733988222,gl_texture_swap,14513408
181789734084342,181789734412272,pty_engine_feed,28342
181789734506771,181789734717371,pty_engine_feed,25355
181789734727251,181789742380879,event_wait,0
181789742385299,181789742402609,graphics_map_pointer,14513408
181789742403999,181789742411679,engine_render_unmap,14513408
181789742419099,181789742460779,gl_texture_swap,14513408
181789742463089,181789748857159,event_wait,0
181789748870059,181789748930699,event_wait,0
181789748937769,181789749539678,event_wait,0
181789749545168,181789764363676,event_wait,0
181789764381436,181789764396436,event_wait,0
