start_ns,end_ns,stage,bytes
20916182124545,20916196887645,pty_engine_feed,1791
20916196907425,20916196923785,graphics_map_pointer,1310720
20916196924705,20916196952385,engine_render_unmap,1310720
20916196960995,20916203301199,gl_texture_swap,1310720
20916205834068,20916206940784,event_wait,0
20916206946824,20916509250264,event_wait,0
20916509257954,20916509270974,graphics_map_pointer,1310720
20916509271744,20916509279574,engine_render_unmap,1310720
20916509312084,20916515999066,gl_texture_swap,1310720
20916516003526,20916524285392,event_wait,0
20917448989870,20917449019440,search_open,0
20916524294752,20917449082120,event_wait,0
20917449092130,20917449114780,graphics_map_pointer,1310720
20917449115570,20917449123290,engine_render_unmap,1310720
20917449141190,20917453944040,gl_texture_swap,1310720
20917453948450,20917453970840,event_wait,0
20917453974660,20917510366019,event_wait,0
20917510372218,20917513299386,event_wait,0
20917513798874,20917516351944,search_found,20
20917513302196,20917516372274,event_wait,0
20917516381774,20917516407604,graphics_map_pointer,1310720
20917516408214,20917516415784,engine_render_unmap,1310720
20917516437054,20917523729564,gl_texture_swap,1310720
20917523731824,20917523752694,event_wait,0
20918524583499,20918526519101,search_found,20
20918526547791,20918532781106,search_found,20
20918532788446,20918538939361,search_missing,0
20917523754814,20918538945991,event_wait,0
20918538956960,20918538985710,graphics_map_pointer,1310720
20918538986280,20918538994110,engine_render_unmap,1310720
20918539023070,20918545863272,gl_texture_swap,1310720
20918545866642,20918545895592,event_wait,0
20918545898652,20918587483091,event_wait,0
20918587492991,20918590405859,event_wait,0
20918590848028,20918593344767,search_missing,6
20918590411709,20918593358687,event_wait,0
20918593366157,20918593393107,graphics_map_pointer,1310720
20918593393747,20918593401187,engine_render_unmap,1310720
20918593423547,20918600567608,gl_texture_swap,1310720
20918600570998,20918600582328,event_wait,0
20918688221918,20918688240418,search_missing,0
20918600585098,20918688273178,event_wait,0
20918688285848,20918688312578,graphics_map_pointer,1310720
20918688313178,20918688321078,engine_render_unmap,1310720
20918688341828,20918694315283,gl_texture_swap,1310720
20918694318313,20918694343613,event_wait,0
20918694346913,20918750490803,event_wait,0
20918750501423,20918753378931,event_wait,0
20918753860519,20918756371629,search_found,20
20918753381201,20918756409349,event_wait,0
20918756419509,20918756445409,graphics_map_pointer,1310720
20918756445989,20918756453879,engine_render_unmap,1310720
20918756474508,20918763405370,gl_texture_swap,1310720
20918763409630,20918763431100,event_wait,0
20918763435000,20919012062980,event_wait,0
20919012074210,20919015114598,event_wait,0
20919216342683,20919216342703,search_copy,20
20919015116608,20919216358813,event_wait,0
20919216365623,20919216401362,event_wait,0
20919216404032,20919418932292,event_wait,0
20919418940212,20919421988839,event_wait,0
20919421991009,20919428553322,event_wait,0
20919428560442,20919428583672,graphics_map_pointer,1310720
20919428584322,20919428591792,engine_render_unmap,1310720
20919428612492,20919435253415,gl_texture_swap,1310720
20919435256025,20919435266855,event_wait,0
