start_ns,end_ns,stage,bytes
273733676394416,273733676433506,graphics_map_pointer,1310720
273733676443146,273733676492176,engine_render_unmap,1310720
273733676518906,273733677212895,gl_texture_swap,1310720
273733677218795,273733677320734,event_wait,0
273733677324784,273733677464584,event_wait,0
273733677474504,273733678247753,pty_engine_feed,1791
273733678256193,273733681474968,event_wait,0
273733681481038,273733685613462,event_wait,0
273733685630942,273733685671052,graphics_map_pointer,1310720
273733685672532,273733685698642,engine_render_unmap,1310720
273733685757462,273733686463500,gl_texture_swap,1310720
273733686470670,273733698216873,event_wait,0
273733698234832,273733980658182,event_wait,0
273733980676442,273733980707591,graphics_map_pointer,1310720
273733980708341,273733980717681,engine_render_unmap,1310720
273733980742041,273733981019421,gl_texture_swap,1310720
273733981023621,273733981050581,event_wait,0
273734978603389,273734978641009,search_open,0
273733981053721,273734978710169,event_wait,0
273734978722479,273734978753719,graphics_map_pointer,1310720
273734978754379,273734978763019,engine_render_unmap,1310720
273734978787589,273734979027618,gl_texture_swap,1310720
273734979031588,273734979051588,event_wait,0
273734979055548,273735044734678,event_wait,0
273735044748398,273735045708366,event_wait,0
273735093401354,273735093576753,search_found,20
273735045719376,273735093598443,event_wait,0
273735093612153,273735093641953,graphics_map_pointer,1310720
273735093642733,273735093650723,engine_render_unmap,1310720
273735093676823,273735093920623,gl_texture_swap,1310720
273735093924863,273735093958223,event_wait,0
273736059619599,273736059770719,search_found,20
273736059795669,273736059835519,search_found,20
273736059845459,273736059870929,search_missing,0
273735093960843,273736059879329,event_wait,0
273736059890479,273736059919669,graphics_map_pointer,1310720
273736059920489,273736059929189,engine_render_unmap,1310720
273736059950679,273736060197928,gl_texture_swap,1310720
273736060204318,273736060226888,event_wait,0
273736060231918,273736124555970,event_wait,0
273736124569890,273736125495819,event_wait,0
273736174278974,273736174414264,search_missing,6
273736125502249,273736174436054,event_wait,0
273736174446924,273736174470474,graphics_map_pointer,1310720
273736174471224,273736174478384,engine_render_unmap,1310720
273736174495934,273736174740424,gl_texture_swap,1310720
273736174743604,273736174786694,event_wait,0
273736273484853,273736273510883,search_missing,0
273736174788714,273736273559343,event_wait,0
273736273571993,273736273606003,graphics_map_pointer,1310720
273736273606803,273736273615353,engine_render_unmap,1310720
273736273640253,273736273907612,gl_texture_swap,1310720
273736273912082,273736273934412,event_wait,0
273736273937532,273736338605644,event_wait,0
273736338618654,273736339599932,event_wait,0
273736388259698,273736388432118,search_found,20
273736339603462,273736388460218,event_wait,0
273736388474097,273736388504477,graphics_map_pointer,1310720
273736388505277,273736388515267,engine_render_unmap,1310720
273736388533457,273736388781787,gl_texture_swap,1310720
273736388786327,273736388826227,event_wait,0
273736388829397,273736654445152,event_wait,0
273736654461772,273736655335710,event_wait,0
273736901441965,273736901441985,search_copy,20
273736655338560,273736901455135,event_wait,0
273736901465225,273736901510845,event_wait,0
273736901514125,273737116444977,event_wait,0
273737116457857,273737116905606,event_wait,0
273737116907686,273737117289675,event_wait,0
273737117308545,273737117334845,graphics_map_pointer,1310720
273737117336125,273737117348635,engine_render_unmap,1310720
273737117365665,273737117777015,gl_texture_swap,1310720
273737117782495,273737117808165,event_wait,0
273737117812515,273737857250576,event_wait,0
273737857275406,273737857306966,graphics_map_pointer,1310720
273737857308646,273737857323636,engine_render_unmap,1310720
273737857345826,273737857685426,gl_texture_swap,1310720
273737857691936,273737857713476,event_wait,0
273737857718166,273737879295683,event_wait,0
