start_ns,end_ns,stage,bytes
187341658607335,187341658892664,pty_engine_feed,7
187341658922004,187341658946044,graphics_map_pointer,2457600
187341658954024,187341658974864,engine_render_unmap,2457600
187341658989334,187341659643313,gl_texture_swap,2457600
187341661345920,187341662466669,event_wait,0
187341662473779,187341668014360,event_wait,0
187341668021680,187341668031550,graphics_map_pointer,14513408
187341668033110,187341668043140,engine_render_unmap,14513408
187341668120020,187341668824649,gl_texture_swap,14513408
187341668829579,187341670061577,event_wait,0
187341670065187,187341736643985,event_wait,0
187341736665615,187341736827405,pty_engine_feed,4
187341736839165,187341736864755,graphics_map_pointer,14513408
187341736866245,187341736873665,engine_render_unmap,14513408
187341736887485,187341737889394,gl_texture_swap,14513408
187341737982403,187341738635442,pty_engine_feed,30720
187341738698492,187341738868522,pty_engine_feed,27904
187341738878442,187341739006562,pty_engine_feed,6898
187341739015492,187341739086442,event_wait,0
187341739128222,187341739280591,pty_engine_feed,21504
187341739344221,187341739527241,pty_engine_feed,36608
187341739537101,187341741277078,pty_engine_feed,7410
187341741284688,187341741320738,event_wait,0
187341741331048,187341741476908,pty_engine_feed,9984
187341741567698,187341741754568,pty_engine_feed,42496
187341741772908,187341741900157,pty_engine_feed,13042
187341741903897,187341741930687,event_wait,0
187341742082627,187341742245857,pty_engine_feed,41728
187341742279027,187341742436837,pty_engine_feed,23794
187341742440837,187341742467277,event_wait,0
187341742476857,187341742610386,pty_engine_feed,7936
187341742711536,187341742911686,pty_engine_feed,45056
187341742930296,187341743086106,pty_engine_feed,12530
187341743089916,187341743118906,event_wait,0
187341743133896,187341743260655,pty_engine_feed,9984
187341743340205,187341743530855,pty_engine_feed,40448
187341743550105,187341743716345,pty_engine_feed,15090
187341743720045,187341745266882,event_wait,0
187341745316032,187341745545242,pty_engine_feed,30720
187341745608502,187341745792332,pty_engine_feed,34304
187341745795262,187341745928411,pty_engine_feed,498
187341745932021,187341745962211,event_wait,0
187341745977461,187341746113761,pty_engine_feed,10752
187341746224111,187341746416721,pty_engine_feed,47616
187341746419431,187341746429911,graphics_map_pointer,14513408
187341746431131,187341746437171,engine_render_unmap,14513408
187341746445281,187341746498390,gl_texture_swap,14513408
187341746512080,187341746924060,pty_engine_feed,7154
187341746933800,187341746954940,event_wait,0
187341746981400,187341747253559,pty_engine_feed,12544
187341747292049,187341747447159,pty_engine_feed,27904
187341747481269,187341747657119,pty_engine_feed,25074
187341747661089,187341747689749,event_wait,0
187341747704979,187341747839668,pty_engine_feed,8960
187341747891608,187341749463736,pty_engine_feed,33536
187341749498396,187341749675006,pty_engine_feed,23026
187341749679056,187341754885668,event_wait,0
187341754888758,187341754908788,graphics_map_pointer,14513408
187341754910118,187341754917028,engine_render_unmap,14513408
187341754924508,187341754968738,gl_texture_swap,14513408
187341754970998,187341754997697,event_wait,0
187341755002847,187341755704926,event_wait,0
187341755716286,187341755733326,event_wait,0
