start_ns,end_ns,stage,bytes
187340692325299,187340692493099,pty_engine_feed,7
187340692519359,187340692539419,graphics_map_pointer,2457600
187340692546189,187340692565089,engine_render_unmap,2457600
187340692578059,187340693265028,gl_texture_swap,2457600
187340695109385,187340701659325,event_wait,0
187340701667935,187340701676955,graphics_map_pointer,14513408
187340701678485,187340701688085,engine_render_unmap,14513408
187340701715665,187340702733253,gl_texture_swap,14513408
187340702738033,187340707159966,event_wait,0
187340707167066,187340766977355,event_wait,0
187340766988535,187340767155465,pty_engine_feed,4
187340767167615,187340767192315,graphics_map_pointer,14513408
187340767193735,187340767201065,engine_render_unmap,14513408
187340767214905,187340769319622,gl_texture_swap,14513408
187340769543501,187340770060330,pty_engine_feed,65512
187340770069350,187340770097700,pty_engine_feed,4
187340770103860,187340770166070,event_wait,0
187340770408000,187340770659369,pty_engine_feed,65516
187340770664649,187340770714619,event_wait,0
187340770993649,187340771188439,pty_engine_feed,65516
187340771193149,187340771241429,event_wait,0
187340771257509,187340771324368,pty_engine_feed,7680
187340771535008,187340771724878,pty_engine_feed,57836
187340771728588,187340773272115,event_wait,0
187340773413605,187340773580565,pty_engine_feed,44288
187340773635505,187340773803175,pty_engine_feed,21228
187340773807515,187340773854695,event_wait,0
187340774145364,187340774349774,pty_engine_feed,65516
187340774354534,187340774383474,event_wait,0
187340774661843,187340774854343,pty_engine_feed,65516
187340774858743,187340774884773,event_wait,0
187340775174843,187340775381482,pty_engine_feed,65516
187340775387982,187340775412732,event_wait,0
187340775701992,187340775900841,pty_engine_feed,65516
187340775905031,187340777579679,event_wait,0
187340777805079,187340778097858,pty_engine_feed,65516
187340778101728,187340778112568,graphics_map_pointer,14513408
187340778113748,187340778119848,engine_render_unmap,14513408
187340778128108,187340778178288,gl_texture_swap,14513408
187340778184028,187340778194168,event_wait,0
187340778196228,187340781516793,event_wait,0
187340781519443,187340783687190,event_wait,0
187340783698770,187340783717580,event_wait,0
